Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
15-Mar-20,5.77,6.35,5.73,6,"500,456,010","423,564,302",6.04,0.000936468,"5,502.97"
14-Mar-20,6.18,6.27,5.69,5.78,"435,778,069","407,484,665",5.98,0.000920739,"5,375.15"
13-Mar-20,5.89,6.62,4.23,6.17,"756,380,797","435,092,006",5.425,0.000743727,"4,972.55"
12-Mar-20,9.41,9.51,5.83,5.9,"685,086,893","416,467,384",7.67,0.000953754,"6,394.74"
11-Mar-20,9.87,9.99,8.88,9.41,"711,924,739","663,446,332",9.435,0.001470216,"7,796.81"
10-Mar-20,9.9,10.17,9.71,9.87,"800,172,702","696,283,472",9.94,0.0013192,"7,975.86"
9-Mar-20,10.11,10.31,9.43,9.87,"882,419,084","696,382,232",9.87,0.001110158,"7,933.95"
8-Mar-20,11.62,11.62,10.1,10.13,"777,840,481","714,399,873",10.86,0.001423647,"8,509.80"
7-Mar-20,12.34,12.39,11.62,11.62,"731,757,190","819,819,986",12.005,0.001232339,"9,026.98"
6-Mar-20,12.1,12.35,11.96,12.35,"857,216,301","870,833,842",12.155,0.001040683,"9,099.89"
5-Mar-20,11.74,12.38,11.74,12.09,"772,846,232","852,607,657",12.06,0.001308837,"8,949.65"
4-Mar-20,11.59,11.97,11.54,11.75,"858,299,327","828,740,119",11.755,0.001195852,"8,777.90"
3-Mar-20,12,12.03,11.47,11.59,"1,123,086,505","817,560,174",11.75,0.001670058,"8,803.30"
2-Mar-20,11.35,12.17,11.21,12,"1,012,672,489","846,635,064",11.69,0.001237434,"8,726.97"
1-Mar-20,11.19,11.83,11.12,11.37,"757,272,181","801,741,237",11.475,0.0015318,"8,599.01"
29-Feb-20,11.27,11.49,10.95,11.2,"741,943,845","789,886,314",11.22,0.001491998,"8,687.57"
28-Feb-20,11.44,11.63,10.72,11.27,"782,179,309","794,690,612",11.175,0.001118802,"8,691.70"
27-Feb-20,11.04,11.65,10.46,11.45,"818,054,156","807,385,702",11.055,0.001318611,"8,755.05"
